nama_bahan;satuan;stok;kebutuhan;updated_at
Glukosa;g;0;1000;01/01/2021
HCl 37%;ml;0;1000;01/01/2021
Potasium Hydrogen Phospate;g;0;500;01/01/2021
Mangan Sulfat (MnSO4);g;0;250;01/01/2021
Metanol Teknis (CH?OH);ml;0;6000;01/01/2021
Cobalt Chloride;g;0;25;01/01/2021
WPM;ml;0;1000;01/01/2021
Alkohol 70%;ml;0;30000;01/01/2021
MS (Media Kultur Jaringan);ml;0;50000;01/01/2021
2,4 Dichlorophenoxyacetic Acid;g;250;135;01/01/2021
Kalium Nitrat (KNO3);g;0;4000;01/01/2021
Kalsium Nitrat (CaNO3);g;0;4000;01/01/2021
Besi (Fe);g;0;100;01/01/2021
Mangan Fosfida (MnP);g;0;4000;01/01/2021
Kalium Sulfat (K2SO4);g;0;1000;01/01/2021
Aenonin;g;0;4000;01/01/2021
Magnesium (Mg);g;0;4000;01/01/2021
Mangan (Mn);g;0;1000;01/01/2021
Tembaga (Cu);g;0;4000;01/01/2021
Seng (Zn);g;0;4000;01/01/2021
Isoren;g;0;4000;01/01/2021
Amonium;g;0;30;01/01/2021
P isag;g;0;1000;01/01/2021
Iodine ;ml;0;125;01/01/2021
Methylene Blue (Methylthioninium Chloride);ml;0;500;01/01/2021
Eosin 0,5% ;ml;0;500;01/01/2021
Aquades;ml;0;10000;01/01/2021
6-Benzylaminopurine (BAP) 1 g;g;0;20;01/01/2021
Probiotik;ml;0;2500;01/01/2021
Mesran B Sae 40;ml;4000;4000;01/01/2021
Pertiwi Pingky Kangkung;g;0;1000;01/01/2021
Deterjen;g;0;900;01/01/2021
Dedak ;g;0;1000;01/01/2021
You Fragrant Bawang Daun ;g;0;10;01/01/2021
PM Maestro SP Bayam;g;0;25;01/01/2021
PM Mira (Bayam Merah) ;g;0;50;01/01/2021
PM Amigo SP Seledri;g;0;250;01/01/2021
PM Vanesa (Timun) ;g;0;500;01/01/2021
PM Bella Reg F1 (Mentimun Hyb) 20;g;0;250;01/01/2021
PM Grand Rapids (Lettuce) ;g;0;15;01/01/2021
PM Bara Reg (Cabe Rawit) ;g;0;10;01/01/2021
PM Shinta (Caisim) ;g;0;25;01/01/2021
Takii Pakchoy Green 20 ml;g;0;25;01/01/2021
You Red Rapid Lettuce Selada;g;0;10;01/01/2021
BA Natama SP F1 Tomat Super 0.15;g;0;10;01/01/2021
CS Cauliflower Tropical 10 g;g;0;20;01/01/2021
Buncis ;g;0;100;01/01/2021
MF Tomato Red Cherry;g;0;25;01/01/2021
PM Panex SP Cabe Besar F1;g;0;25;01/01/2021
Pertiwi Talenta Jagung Manis F1 250;g;0;250;01/01/2021
Kemangi;g;0;250;01/01/2021
TSP;g;0;1000;01/01/2021
Pupuk Kandang;karung;0;1;01/01/2021
Tomat Permata;bks;0;1;01/01/2021
Tomat Tantyna;bks;0;1;01/01/2021
Jagung Manis Bimmo 25 g;bks;0;1;01/01/2021
Tanah;karung;0;1;01/01/2021
Cocopeat;Karung;0;1;01/01/2021
Sekam Bakar;Karung;0;1;01/01/2021
Pupuk K Ksr;g;0;700;01/01/2021
Pupuk K Lils;g;0;400;01/01/2021
TOB;pcs;0;1;01/01/2021
Kompos;karung;0;0;01/01/2021
Tanah Lembang;karung;0;0;01/01/2021
Klinpak Alumunium Foil;pcs;0;0;01/01/2021
Fresh Seal Ware SW-22;pcs;0;0;01/01/2021
Lem Fox Kaleng;pcs;0;0;01/01/2021
Madu Murni 150 g;botol;0;0;01/01/2021
Swallow Agar Globe White;bungkus;0;0;01/01/2021
Duplex Tebal;lembar;0;0;01/01/2021
Plastik Parsel Tipis;rol;0;0;01/01/2021
Batuan Sedimen;pak;0;0;01/01/2021
Batuan Mineral;pak;0;0;01/01/2021
Batuan Beku;pak;0;0;01/01/2021
Kertas Saring;pak;0;0;01/01/2021
Potato Dextrose Agar 100 g;Botol;0;0;01/01/2021
Agar Lokal;g;0;0;01/01/2021
Arang Sekam ;karung;0;0;01/01/2021
Alkohol 95%;ml;0;0;01/01/2021
Asam Nitrat (HNO3);g;0;0;01/01/2021
Buffer 7;ml;0;0;01/01/2021
Buffer 4;ml;0;0;01/01/2021
Dextrose;ml;0;0;01/01/2021
Spirtus;ml;0;0;01/01/2021
Pupuk Hyponex;box;0;0;01/01/2021
Clorox (byclean);botol;0;0;01/01/2021
Media NA;botol;0;0;01/01/2021
Kalsium Amonium Nitrat;g;0;0;01/01/2021
Fe - EDTA;g;0;0;01/01/2021
Monokalium Posfat (MKP) (KH?PO?);g;0;0;01/01/2021
Amonium Sulfat ((NH?)?SO?);g;0;0;01/01/2021
Magnesium Sulfat (MgSO4);g;0;0;01/01/2021
Tembaga Sulfat (CuSO4);g;0;0;01/01/2021
Seng Sulfat (ZnSO4);g;0;0;01/01/2021
Asam Borat (H3BO3);g;0;0;01/01/2021
Amonium Hepta Molibdat;g;0;0;01/01/2021
Parafin Padat/Lilin Malam;pcs;0;0;01/01/2021
Silika Gel;bungkus;0;0;01/01/2021
Lanolin;botol;0;0;01/01/2021
Vaselin ;botol;0;0;01/01/2021
IAA (AUXIN);botol;0;0;01/01/2021
GA3 (GIBERELIN);botol;0;0;01/01/2021
Asam Sitrat;g;0;0;01/01/2021
Naphthalene Acetic Acid (NAA);g;0;0;01/01/2021
PPM;ml;0;0;01/01/2021
Natrium Hidroksida (NaOH);g;0;0;01/01/2021
Arang/Carbon Aktif;g;0;0;01/01/2021
Bakterisida Agrept;g;0;0;01/01/2021
Fungisida Antracol;g;0;0;01/01/2021
Sukrosa;g;0;0;01/01/2021
Indole Butyric Acid (IBA);g;0;0;01/01/2021
Kalium Klorida (KCl | KCL);g;0;0;01/01/2021
Asam Asetat Glasial;botol;0;0;01/01/2021
Asam Asetat;botol;0;0;01/01/2021
Paclobutrazol;g;0;0;01/01/2021
Citric Acid Monohydrate;g;0;0;01/01/2021
Teknis Lugol;botol;0;0;01/01/2021
Kalium Hidroksida (KOH);botol;0;0;01/01/2021
Benih Sayuran;bks;0;0;01/01/2021
Benih Bunga;bks;0;0;01/01/2021
Ubi;g;0;0;01/01/2021
Kentang;g;0;0;01/01/2021
Macam- macam Batu Batre;g;0;0;01/01/2021
Plastik;g;0;0;01/01/2021
Bahan Bakar;ml;0;0;01/01/2021
Bibit;pak;0;0;01/01/2021
Polybag;pak;0;0;01/01/2021
Macam Macam Baterai;pcs;0;0;01/01/2021
Praktikum Fisiologi Tumbuhan;pak;0;0;01/01/2021
Praktikum Dasperlintan;paket;0;0;01/01/2021
Karung;pcs;0;0;01/01/2021
Glumon;botol;0;0;01/01/2021
Alkohol 90%;ml;0;0;01/01/2021
Benih Tanaman;bks;0;0;01/01/2021
Bahan Tanam;g;0;0;01/01/2021
Pupuk Organik;g;0;25000;01/01/2021
Pupuk Kimia;g;0;0;01/01/2021
Pestisida;g;0;0;01/01/2021
Bahan Kimia;g;0;0;01/01/2021
ATK;pak;0;0;01/01/2021
Media Bakteri;botol;0;0;01/01/2021
Media Jamur;botol;0;0;01/01/2021
Biakan Murni Mikroorganisme;petri;0;0;01/01/2021
Biakan fungi;petri;0;0;01/01/2021
Media Tanam;karung;0;0;01/01/2021
AB MIX;paket;0;0;01/01/2021
Herbisida;botol;0;0;01/01/2021
Insektisida Curacron;Botol;0;0;01/01/2021
Jaring Serangga;lembar;0;0;01/01/2021
Petrogenol (Perangkap Serangga);botol;0;0;01/01/2021
Inokulum Mikoriza;g;0;0;01/01/2021
Pupuk NPK Mutiara;g;0;0;01/01/2021
Urea;g;0;0;01/01/2021
Ponska;pak;0;0;01/01/2021
Benih Jagung Var Paragon;pak;0;0;01/01/2021
Benih Jagung 4 Varietas;pak;0;0;01/01/2021
Benih Cabai 6 Varietas;pak;0;0;01/01/2021
Benih Cabai Rawit;pak;0;0;01/01/2021
Benih Bayam;pak;0;0;01/01/2021
Benih Kacang Panjang;pak;0;0;01/01/2021
Benih sawi;pak;0;0;01/01/2021
Benih Selada;pak;0;0;01/01/2021
Benih Mentimun;pak;0;0;01/01/2021
Benih Kangkung;pak;0;0;01/01/2021
Benih Kaylan;pak;0;0;01/01/2021
Benih Buncis;pak;0;0;01/01/2021
Benih Pakcoy;pak;0;0;01/01/2021
Benih Kubis;pak;0;0;01/01/2021
Benih Semangka;pak;0;0;01/01/2021
Benih Melon;pak;0;0;01/01/2021
Benih Rosela;pak;0;0;01/01/2021
Tray Semai 48 Lubang;pak;0;0;01/01/2021
Plastik Putih Ukuran 1kg;pak;0;0;01/01/2021
Plastik Putih Ukuran 1/2 kg;pak;0;0;01/01/2021
Plastik Zip Kecil;pak;0;0;01/01/2021
Plastik Kotak;pak;0;32;01/01/2021
Curacron;pak;0;0;01/01/2021
Fungisida Amistartop;pak;0;0;01/01/2021
Furadan;g;0;0;01/01/2021
Kacang Kedelai;pak;0;0;01/01/2021
Kacang Hijau;pak;0;0;01/01/2021
AMP Samsons;pak;0;0;01/01/2021
Plastik 6 x 10 cm;pak;0;0;01/01/2021
Praktikum BPO dan BTLJB;pak;0;0;01/01/2021
Glukosa;g;900;0;01/07/2021
HCl 37%;ml;530;0;01/07/2021
Potasium Hydrogen Phospate;g;450;0;01/07/2021
Mangan Sulfat (MnSO4);g;225;0;01/07/2021
Metanol Teknis (CH?OH);ml;3500;0;01/07/2021
Cobalt Chloride;g;10;0;01/07/2021
WPM;ml;650;0;01/07/2021
Alkohol 70%;ml;17000;0;01/07/2021
MS (Media Kultur Jaringan);ml;24600;0;01/07/2021
2,4 Dichlorophenoxyacetic Acid;g;115;0;01/07/2021
Kalium Nitrat (KNO3);g;2800;0;01/07/2021
Kalsium Nitrat (CaNO3);g;2550;0;01/07/2021
Besi (Fe);g;52;0;01/07/2021
Mangan Fosfida (MnP);g;2520;0;01/07/2021
Kalium Sulfat (K2SO4);g;780;0;01/07/2021
Aenonin;g;1250;0;01/07/2021
Magnesium (Mg);g;1900;0;01/07/2021
Mangan (Mn);g;320;0;01/07/2021
Tembaga (Cu);g;1360;0;01/07/2021
Seng (Zn);g;1100;0;01/07/2021
Isoren;g;2050;0;01/07/2021
Amonium;g;16;0;01/07/2021
P isag;g;490;0;01/07/2021
Iodine ;ml;80;0;01/07/2021
Methylene Blue (Methylthioninium Chloride);ml;290;0;01/07/2021
Eosin 0,5% ;ml;330;0;01/07/2021
Aquades;ml;4800;0;01/07/2021
6-Benzylaminopurine (BAP) 1 g;g;12;0;01/07/2021
Probiotik;ml;1020;0;01/07/2021
Mesran B Sae 40;ml;0;0;01/07/2021
Pertiwi Pingky Kangkung;g;570;250;01/07/2021
Deterjen;g;550;550;01/07/2021
Dedak ;g;320;320;01/07/2021
You Fragrant Bawang Daun ;g;0;50;01/07/2021
PM Maestro SP Bayam;g;0;50;01/07/2021
PM Mira (Bayam Merah) ;g;0;50;01/07/2021
PM Amigo SP Seledri;g;0;50;01/07/2021
PM Vanesa (Timun) ;g;200;50;01/07/2021
PM Bella Reg F1 (Mentimun Hyb) 20;g;0;250;01/07/2021
PM Grand Rapids (Lettuce) ;g;0;250;01/07/2021
PM Bara Reg (Cabe Rawit) ;g;0;250;01/07/2021
PM Shinta (Caisim) ;g;0;250;01/07/2021
Takii Pakchoy Green 20 ml;g;0;250;01/07/2021
You Red Rapid Lettuce Selada;g;0;250;01/07/2021
BA Natama SP F1 Tomat Super 0.15;g;0;250;01/07/2021
CS Cauliflower Tropical 10 g;g;10;250;01/07/2021
Buncis ;g;40;250;01/07/2021
MF Tomato Red Cherry;g;0;250;01/07/2021
PM Panex SP Cabe Besar F1;g;0;250;01/07/2021
Pertiwi Talenta Jagung Manis F1 250;g;0;250;01/07/2021
Kemangi;g;0;250;01/07/2021
TSP;g;0;2000;01/07/2021
Pupuk Kandang;karung;0;6;01/07/2021
Tomat Permata;bks;0;0;01/07/2021
Tomat Tantyna;bks;0;0;01/07/2021
Jagung Manis Bimmo 25 g;bks;0;0;01/07/2021
Tanah;karung;0;30;01/07/2021
Cocopeat;Karung;0;5;01/07/2021
Sekam Bakar;Karung;0;5;01/07/2021
Pupuk K Ksr;g;0;700;01/07/2021
Pupuk K Lils;g;0;400;01/07/2021
TOB;pcs;0;2;01/07/2021
Kompos;karung;0;24;01/07/2021
Tanah Lembang;karung;0;20;01/07/2021
Klinpak Alumunium Foil;pcs;0;1;01/07/2021
Fresh Seal Ware SW-22;pcs;0;1;01/07/2021
Lem Fox Kaleng;pcs;0;1;01/07/2021
Madu Murni 150 g;botol;0;1;01/07/2021
Swallow Agar Globe White;bungkus;0;7;01/07/2021
Duplex Tebal;lembar;0;7;01/07/2021
Plastik Parsel Tipis;rol;0;15;01/07/2021
Batuan Sedimen;pak;0;1;01/07/2021
Batuan Mineral;pak;0;1;01/07/2021
Batuan Beku;pak;0;1;01/07/2021
Kertas Saring;pak;0;1;01/07/2021
Potato Dextrose Agar 100 g;Botol;0;1;01/07/2021
Agar Lokal;g;0;1000;01/07/2021
Arang Sekam ;karung;0;5;01/07/2021
Alkohol 95%;ml;0;0;01/07/2021
Asam Nitrat (HNO3);g;0;0;01/07/2021
Buffer 7;ml;0;0;01/07/2021
Buffer 4;ml;0;0;01/07/2021
Dextrose;ml;0;0;01/07/2021
Spirtus;ml;0;0;01/07/2021
Pupuk Hyponex;box;0;0;01/07/2021
Clorox (byclean);botol;0;0;01/07/2021
Media NA;botol;0;0;01/07/2021
Kalsium Amonium Nitrat;g;0;0;01/07/2021
Fe - EDTA;g;0;0;01/07/2021
Monokalium Posfat (MKP) (KH?PO?);g;0;0;01/07/2021
Amonium Sulfat ((NH?)?SO?);g;0;0;01/07/2021
Magnesium Sulfat (MgSO4);g;0;0;01/07/2021
Tembaga Sulfat (CuSO4);g;0;0;01/07/2021
Seng Sulfat (ZnSO4);g;0;0;01/07/2021
Asam Borat (H3BO3);g;0;0;01/07/2021
Amonium Hepta Molibdat;g;0;0;01/07/2021
Parafin Padat/Lilin Malam;pcs;0;0;01/07/2021
Silika Gel;bungkus;0;0;01/07/2021
Lanolin;botol;0;0;01/07/2021
Vaselin ;botol;0;0;01/07/2021
IAA (AUXIN);botol;0;0;01/07/2021
GA3 (GIBERELIN);botol;0;0;01/07/2021
Asam Sitrat;g;0;0;01/07/2021
Naphthalene Acetic Acid (NAA);g;0;0;01/07/2021
PPM;ml;0;0;01/07/2021
Natrium Hidroksida (NaOH);g;0;0;01/07/2021
Arang/Carbon Aktif;g;0;0;01/07/2021
Bakterisida Agrept;g;0;0;01/07/2021
Fungisida Antracol;g;0;0;01/07/2021
Sukrosa;g;0;0;01/07/2021
Indole Butyric Acid (IBA);g;0;0;01/07/2021
Kalium Klorida (KCl | KCL);g;0;0;01/07/2021
Asam Asetat Glasial;botol;0;0;01/07/2021
Asam Asetat;botol;0;0;01/07/2021
Paclobutrazol;g;0;0;01/07/2021
Citric Acid Monohydrate;g;0;0;01/07/2021
Teknis Lugol;botol;0;0;01/07/2021
Kalium Hidroksida (KOH);botol;0;0;01/07/2021
Benih Sayuran;bks;0;0;01/07/2021
Benih Bunga;bks;0;0;01/07/2021
Ubi;g;0;0;01/07/2021
Kentang;g;0;0;01/07/2021
Macam- macam Batu Batre;g;0;0;01/07/2021
Plastik;g;0;0;01/07/2021
Bahan Bakar;ml;0;0;01/07/2021
Bibit;pak;0;0;01/07/2021
Polybag;pak;0;2;01/07/2021
Macam Macam Baterai;pcs;0;0;01/07/2021
Praktikum Fisiologi Tumbuhan;pak;0;0;01/07/2021
Praktikum Dasperlintan;paket;0;0;01/07/2021
Karung;pcs;0;0;01/07/2021
Glumon;botol;0;0;01/07/2021
Alkohol 90%;ml;0;0;01/07/2021
Benih Tanaman;bks;0;0;01/07/2021
Bahan Tanam;g;0;0;01/07/2021
Pupuk Organik;g;0;60000;01/07/2021
Pupuk Kimia;g;0;0;01/07/2021
Pestisida;g;0;0;01/07/2021
Bahan Kimia;g;0;0;01/07/2021
ATK;pak;0;0;01/07/2021
Media Bakteri;botol;0;0;01/07/2021
Media Jamur;botol;0;0;01/07/2021
Biakan Murni Mikroorganisme;petri;0;0;01/07/2021
Biakan fungi;petri;0;0;01/07/2021
Media Tanam;karung;0;0;01/07/2021
AB MIX;paket;0;0;01/07/2021
Herbisida;botol;0;0;01/07/2021
Insektisida Curacron;Botol;0;0;01/07/2021
Jaring Serangga;lembar;0;0;01/07/2021
Petrogenol (Perangkap Serangga);botol;0;0;01/07/2021
Inokulum Mikoriza;g;0;0;01/07/2021
Pupuk NPK Mutiara;g;0;0;01/07/2021
Urea;g;0;0;01/07/2021
Ponska;pak;0;0;01/07/2021
Benih Jagung Var Paragon;pak;0;0;01/07/2021
Benih Jagung 4 Varietas;pak;0;0;01/07/2021
Benih Cabai 6 Varietas;pak;0;0;01/07/2021
Benih Cabai Rawit;pak;0;0;01/07/2021
Benih Bayam;pak;0;0;01/07/2021
Benih Kacang Panjang;pak;0;0;01/07/2021
Benih sawi;pak;0;0;01/07/2021
Benih Selada;pak;0;0;01/07/2021
Benih Mentimun;pak;0;0;01/07/2021
Benih Kangkung;pak;0;0;01/07/2021
Benih Kaylan;pak;0;0;01/07/2021
Benih Buncis;pak;0;0;01/07/2021
Benih Pakcoy;pak;0;0;01/07/2021
Benih Kubis;pak;0;0;01/07/2021
Benih Semangka;pak;0;0;01/07/2021
Benih Melon;pak;0;0;01/07/2021
Benih Rosela;pak;0;0;01/07/2021
Tray Semai 48 Lubang;pak;0;0;01/07/2021
Plastik Putih Ukuran 1kg;pak;0;0;01/07/2021
Plastik Putih Ukuran 1/2 kg;pak;0;0;01/07/2021
Plastik Zip Kecil;pak;0;0;01/07/2021
Plastik Kotak;pak;0;0;01/07/2021
Curacron;pak;0;0;01/07/2021
Fungisida Amistartop;pak;0;0;01/07/2021
Furadan;g;0;0;01/07/2021
Kacang Kedelai;pak;0;0;01/07/2021
Kacang Hijau;pak;0;0;01/07/2021
AMP Samsons;pak;0;0;01/07/2021
Plastik 6 x 10 cm;pak;0;0;01/07/2021
Praktikum BPO dan BTLJB;pak;0;0;01/07/2021
Glukosa;g;800;0;01/01/2022
HCl 37%;ml;420;0;01/01/2022
Potasium Hydrogen Phospate;g;400;0;01/01/2022
Mangan Sulfat (MnSO4);g;210;200;01/01/2022
Metanol Teknis (CH?OH);ml;0;0;01/01/2022
Cobalt Chloride;g;0;0;01/01/2022
WPM;ml;0;0;01/01/2022
Alkohol 70%;ml;15000;7000;01/01/2022
MS (Media Kultur Jaringan);ml;0;10000;01/01/2022
2,4 Dichlorophenoxyacetic Acid;g;0;250;01/01/2022
Kalium Nitrat (KNO3);g;1000;1000;01/01/2022
Kalsium Nitrat (CaNO3);g;1000;0;01/01/2022
Besi (Fe);g;0;0;01/01/2022
Mangan Fosfida (MnP);g;940;0;01/01/2022
Kalium Sulfat (K2SO4);g;680;200;01/01/2022
Aenonin;g;0;0;01/01/2022
Magnesium (Mg);g;0;0;01/01/2022
Mangan (Mn);g;0;0;01/01/2022
Tembaga (Cu);g;500;0;01/01/2022
Seng (Zn);g;0;0;01/01/2022
Isoren;g;0;0;01/01/2022
Amonium;g;0;0;01/01/2022
P isag;g;0;0;01/01/2022
Iodine ;ml;50;1000;01/01/2022
Methylene Blue (Methylthioninium Chloride);ml;0;500;01/01/2022
Eosin 0,5% ;ml;220;500;01/01/2022
Aquades;ml;0;200000;01/01/2022
6-Benzylaminopurine (BAP) 1 g;g;7;2;01/01/2022
Probiotik;ml;0;0;01/01/2022
Mesran B Sae 40;ml;0;0;01/01/2022
Pertiwi Pingky Kangkung;g;0;0;01/01/2022
Deterjen;g;0;0;01/01/2022
Dedak ;g;0;0;01/01/2022
You Fragrant Bawang Daun ;g;0;0;01/01/2022
PM Maestro SP Bayam;g;0;0;01/01/2022
PM Mira (Bayam Merah) ;g;0;0;01/01/2022
PM Amigo SP Seledri;g;0;0;01/01/2022
PM Vanesa (Timun) ;g;0;0;01/01/2022
PM Bella Reg F1 (Mentimun Hyb) 20;g;0;0;01/01/2022
PM Grand Rapids (Lettuce) ;g;0;0;01/01/2022
PM Bara Reg (Cabe Rawit) ;g;0;0;01/01/2022
PM Shinta (Caisim) ;g;0;0;01/01/2022
Takii Pakchoy Green 20 ml;g;0;0;01/01/2022
You Red Rapid Lettuce Selada;g;0;0;01/01/2022
BA Natama SP F1 Tomat Super 0.15;g;0;0;01/01/2022
CS Cauliflower Tropical 10 g;g;0;0;01/01/2022
Buncis ;g;0;0;01/01/2022
MF Tomato Red Cherry;g;0;0;01/01/2022
PM Panex SP Cabe Besar F1;g;0;0;01/01/2022
Pertiwi Talenta Jagung Manis F1 250;g;0;0;01/01/2022
Kemangi;g;0;0;01/01/2022
TSP;g;0;0;01/01/2022
Pupuk Kandang;karung;0;0;01/01/2022
Tomat Permata;bks;0;0;01/01/2022
Tomat Tantyna;bks;0;0;01/01/2022
Jagung Manis Bimmo 25 g;bks;0;0;01/01/2022
Tanah;karung;0;0;01/01/2022
