nama_bahan;satuan;stok;kebutuhan;updated_at
Benih Bunga;bks;0;10;01/01/2023
Ubi;g;0;2000;01/01/2023
Kentang;g;0;1000;01/01/2023
Macam- macam Batu Batre;g;0;15000;01/01/2023
Plastik;g;0;1000;01/01/2023
Bahan Bakar;ml;0;50000;01/01/2023
Bibit;pak;0;1;01/01/2023
Polybag;pak;0;5;01/01/2023
Macam Macam Baterai;pcs;0;20;01/01/2023
Praktikum Fisiologi Tumbuhan;pak;0;1;01/01/2023
Praktikum Dasperlintan;paket;0;1;01/01/2023
Karung;pcs;0;10;01/01/2023
Glumon;botol;0;4;01/01/2023
Alkohol 90%;ml;0;5000;01/01/2023
Benih Tanaman;bks;0;0;01/01/2023
Bahan Tanam;g;0;0;01/01/2023
Pupuk Organik;g;0;0;01/01/2023
Pupuk Kimia;g;0;0;01/01/2023
Pestisida;g;0;0;01/01/2023
Bahan Kimia;g;0;0;01/01/2023
ATK;pak;0;0;01/01/2023
Media Bakteri;botol;0;0;01/01/2023
Media Jamur;botol;0;0;01/01/2023
Biakan Murni Mikroorganisme;petri;0;0;01/01/2023
Biakan fungi;petri;0;0;01/01/2023
Media Tanam;karung;0;0;01/01/2023
AB MIX;paket;0;0;01/01/2023
Herbisida;botol;0;0;01/01/2023
Insektisida Curacron;Botol;0;0;01/01/2023
Jaring Serangga;lembar;0;0;01/01/2023
Petrogenol (Perangkap Serangga);botol;0;0;01/01/2023
Inokulum Mikoriza;g;0;0;01/01/2023
Pupuk NPK Mutiara;g;0;0;01/01/2023
Urea;g;0;0;01/01/2023
Ponska;pak;0;0;01/01/2023
Benih Jagung Var Paragon;pak;0;0;01/01/2023
Benih Jagung 4 Varietas;pak;0;0;01/01/2023
Benih Cabai 6 Varietas;pak;0;0;01/01/2023
Benih Cabai Rawit;pak;0;0;01/01/2023
Benih Bayam;pak;0;0;01/01/2023
Benih Kacang Panjang;pak;0;0;01/01/2023
Benih sawi;pak;0;0;01/01/2023
Benih Selada;pak;0;0;01/01/2023
Benih Mentimun;pak;0;0;01/01/2023
Benih Kangkung;pak;0;0;01/01/2023
Benih Kaylan;pak;0;0;01/01/2023
Benih Buncis;pak;0;0;01/01/2023
Benih Pakcoy;pak;0;0;01/01/2023
Benih Kubis;pak;0;0;01/01/2023
Benih Semangka;pak;0;0;01/01/2023
Benih Melon;pak;0;0;01/01/2023
Benih Rosela;pak;0;0;01/01/2023
Tray Semai 48 Lubang;pak;0;0;01/01/2023
Plastik Putih Ukuran 1kg;pak;0;0;01/01/2023
Plastik Putih Ukuran 1/2 kg;pak;0;0;01/01/2023
Plastik Zip Kecil;pak;0;0;01/01/2023
Plastik Kotak;pak;0;0;01/01/2023
Curacron;pak;0;0;01/01/2023
Fungisida Amistartop;pak;0;0;01/01/2023
Furadan;g;0;0;01/01/2023
Kacang Kedelai;pak;0;0;01/01/2023
Kacang Hijau;pak;0;0;01/01/2023
AMP Samsons;pak;0;0;01/01/2023
Plastik 6 x 10 cm;pak;0;0;01/01/2023
Praktikum BPO dan BTLJB;pak;0;0;01/01/2023
Glukosa;g;800;0;01/07/2023
HCl 37%;ml;420;0;01/07/2023
Potasium Hydrogen Phospate;g;400;0;01/07/2023
Mangan Sulfat (MnSO4);g;410;0;01/07/2023
Metanol Teknis (CH?OH);ml;0;0;01/07/2023
Cobalt Chloride;g;0;0;01/07/2023
WPM;ml;0;0;01/07/2023
Alkohol 70%;ml;0;0;01/07/2023
MS (Media Kultur Jaringan);ml;0;0;01/07/2023
2,4 Dichlorophenoxyacetic Acid;g;1;0;01/07/2023
Kalium Nitrat (KNO3);g;2000;0;01/07/2023
Kalsium Nitrat (CaNO3);g;1000;0;01/07/2023
Besi (Fe);g;0;0;01/07/2023
Mangan Fosfida (MnP);g;940;0;01/07/2023
Kalium Sulfat (K2SO4);g;880;0;01/07/2023
Aenonin;g;0;0;01/07/2023
Magnesium (Mg);g;0;0;01/07/2023
Mangan (Mn);g;0;0;01/07/2023
Tembaga (Cu);g;500;0;01/07/2023
Seng (Zn);g;0;0;01/07/2023
Isoren;g;0;0;01/07/2023
Amonium;g;0;0;01/07/2023
P isag;g;0;0;01/07/2023
Iodine ;ml;1050;0;01/07/2023
Methylene Blue (Methylthioninium Chloride);ml;250;0;01/07/2023
Eosin 0,5% ;ml;50;0;01/07/2023
Aquades;ml;0;0;01/07/2023
6-Benzylaminopurine (BAP) 1 g;g;0;0;01/07/2023
Probiotik;ml;0;0;01/07/2023
Mesran B Sae 40;ml;0;0;01/07/2023
Pertiwi Pingky Kangkung;g;0;0;01/07/2023
Deterjen;g;0;0;01/07/2023
Dedak ;g;0;0;01/07/2023
You Fragrant Bawang Daun ;g;0;0;01/07/2023
PM Maestro SP Bayam;g;0;0;01/07/2023
PM Mira (Bayam Merah) ;g;0;0;01/07/2023
PM Amigo SP Seledri;g;0;0;01/07/2023
PM Vanesa (Timun) ;g;0;0;01/07/2023
PM Bella Reg F1 (Mentimun Hyb) 20;g;0;0;01/07/2023
PM Grand Rapids (Lettuce) ;g;0;0;01/07/2023
PM Bara Reg (Cabe Rawit) ;g;0;0;01/07/2023
PM Shinta (Caisim) ;g;0;0;01/07/2023
Takii Pakchoy Green 20 ml;g;0;0;01/07/2023
You Red Rapid Lettuce Selada;g;0;0;01/07/2023
BA Natama SP F1 Tomat Super 0.15;g;0;0;01/07/2023
CS Cauliflower Tropical 10 g;g;0;0;01/07/2023
Buncis ;g;0;0;01/07/2023
MF Tomato Red Cherry;g;0;0;01/07/2023
PM Panex SP Cabe Besar F1;g;0;0;01/07/2023
Pertiwi Talenta Jagung Manis F1 250;g;0;0;01/07/2023
Kemangi;g;0;0;01/07/2023
TSP;g;0;0;01/07/2023
Pupuk Kandang;karung;0;150;01/07/2023
Tomat Permata;bks;0;0;01/07/2023
Tomat Tantyna;bks;0;0;01/07/2023
Jagung Manis Bimmo 25 g;bks;0;0;01/07/2023
Tanah;karung;0;0;01/07/2023
Cocopeat;Karung;0;0;01/07/2023
Sekam Bakar;Karung;0;0;01/07/2023
Pupuk K Ksr;g;0;0;01/07/2023
Pupuk K Lils;g;0;0;01/07/2023
TOB;pcs;0;0;01/07/2023
Kompos;karung;0;0;01/07/2023
Tanah Lembang;karung;0;0;01/07/2023
Klinpak Alumunium Foil;pcs;0;0;01/07/2023
Fresh Seal Ware SW-22;pcs;0;0;01/07/2023
Lem Fox Kaleng;pcs;0;0;01/07/2023
Madu Murni 150 g;botol;0;0;01/07/2023
Swallow Agar Globe White;bungkus;0;0;01/07/2023
Duplex Tebal;lembar;0;0;01/07/2023
Plastik Parsel Tipis;rol;0;0;01/07/2023
Batuan Sedimen;pak;0;0;01/07/2023
Batuan Mineral;pak;0;0;01/07/2023
Batuan Beku;pak;0;0;01/07/2023
Kertas Saring;pak;0;0;01/07/2023
Potato Dextrose Agar 100 g;Botol;1;0;01/07/2023
Agar Lokal;g;500;0;01/07/2023
Arang Sekam ;karung;0;0;01/07/2023
Alkohol 95%;ml;0;0;01/07/2023
Asam Nitrat (HNO3);g;1000;0;01/07/2023
Buffer 7;ml;100;0;01/07/2023
Buffer 4;ml;250;0;01/07/2023
Dextrose;ml;500;0;01/07/2023
Spirtus;ml;0;0;01/07/2023
Pupuk Hyponex;box;0;0;01/07/2023
Clorox (byclean);botol;0;0;01/07/2023
Media NA;botol;1;0;01/07/2023
Kalsium Amonium Nitrat;g;2000;0;01/07/2023
Fe - EDTA;g;100;0;01/07/2023
Monokalium Posfat (MKP) (KH?PO?);g;2000;0;01/07/2023
Amonium Sulfat ((NH?)?SO?);g;2000;0;01/07/2023
Magnesium Sulfat (MgSO4);g;0;0;01/07/2023
Tembaga Sulfat (CuSO4);g;200;0;01/07/2023
Seng Sulfat (ZnSO4);g;200;0;01/07/2023
Asam Borat (H3BO3);g;200;0;01/07/2023
Amonium Hepta Molibdat;g;10;0;01/07/2023
Parafin Padat/Lilin Malam;pcs;0;0;01/07/2023
Silika Gel;bungkus;0;0;01/07/2023
Lanolin;botol;0;0;01/07/2023
Vaselin ;botol;1;0;01/07/2023
IAA (AUXIN);botol;0;0;01/07/2023
GA3 (GIBERELIN);botol;0;0;01/07/2023
Asam Sitrat;g;0;0;01/07/2023
Naphthalene Acetic Acid (NAA);g;0;0;01/07/2023
PPM;ml;0;0;01/07/2023
Natrium Hidroksida (NaOH);g;500;0;01/07/2023
Arang/Carbon Aktif;g;2000;0;01/07/2023
Bakterisida Agrept;g;1000;0;01/07/2023
Fungisida Antracol;g;750;0;01/07/2023
Sukrosa;g;1000;0;01/07/2023
Indole Butyric Acid (IBA);g;5;0;01/07/2023
Kalium Klorida (KCl | KCL);g;1000;0;01/07/2023
Asam Asetat Glasial;botol;2;0;01/07/2023
Asam Asetat;botol;2;0;01/07/2023
Paclobutrazol;g;1;0;01/07/2023
Citric Acid Monohydrate;g;1;0;01/07/2023
Teknis Lugol;botol;1;0;01/07/2023
Kalium Hidroksida (KOH);botol;1;0;01/07/2023
Benih Sayuran;bks;0;0;01/07/2023
Benih Bunga;bks;0;0;01/07/2023
Ubi;g;0;0;01/07/2023
Kentang;g;0;0;01/07/2023
Macam- macam Batu Batre;g;0;0;01/07/2023
Plastik;g;0;0;01/07/2023
Bahan Bakar;ml;0;50000;01/07/2023
Bibit;pak;0;150;01/07/2023
Polybag;pak;0;0;01/07/2023
Macam Macam Baterai;pcs;0;0;01/07/2023
Praktikum Fisiologi Tumbuhan;pak;0;0;01/07/2023
Praktikum Dasperlintan;paket;0;0;01/07/2023
Karung;pcs;0;0;01/07/2023
Glumon;botol;0;0;01/07/2023
Alkohol 90%;ml;0;0;01/07/2023
Benih Tanaman;bks;0;150;01/07/2023
Bahan Tanam;g;0;150000;01/07/2023
Pupuk Organik;g;0;60000;01/07/2023
Pupuk Kimia;g;0;58000;01/07/2023
Pestisida;g;0;30000;01/07/2023
Bahan Kimia;g;0;50000;01/07/2023
ATK;pak;0;30;01/07/2023
Media Bakteri;botol;0;20;01/07/2023
Media Jamur;botol;0;20;01/07/2023
Biakan Murni Mikroorganisme;petri;0;40;01/07/2023
Biakan fungi;petri;0;40;01/07/2023
Media Tanam;karung;0;150;01/07/2023
AB MIX;paket;0;40;01/07/2023
Herbisida;botol;0;40;01/07/2023
Insektisida Curacron;Botol;0;30;01/07/2023
Jaring Serangga;lembar;0;30;01/07/2023
Petrogenol (Perangkap Serangga);botol;0;60;01/07/2023
Inokulum Mikoriza;g;0;30000;01/07/2023
Pupuk NPK Mutiara;g;0;0;01/07/2023
Urea;g;0;0;01/07/2023
Ponska;pak;0;0;01/07/2023
Benih Jagung Var Paragon;pak;0;0;01/07/2023
Benih Jagung 4 Varietas;pak;0;0;01/07/2023
Benih Cabai 6 Varietas;pak;0;0;01/07/2023
Benih Cabai Rawit;pak;0;0;01/07/2023
Benih Bayam;pak;0;0;01/07/2023
Benih Kacang Panjang;pak;0;0;01/07/2023
Benih sawi;pak;0;0;01/07/2023
Benih Selada;pak;0;0;01/07/2023
Benih Mentimun;pak;0;0;01/07/2023
Benih Kangkung;pak;0;0;01/07/2023
Benih Kaylan;pak;0;0;01/07/2023
Benih Buncis;pak;0;0;01/07/2023
Benih Pakcoy;pak;0;0;01/07/2023
Benih Kubis;pak;0;0;01/07/2023
Benih Semangka;pak;0;0;01/07/2023
Benih Melon;pak;0;0;01/07/2023
Benih Rosela;pak;0;0;01/07/2023
Tray Semai 48 Lubang;pak;0;0;01/07/2023
Plastik Putih Ukuran 1kg;pak;0;0;01/07/2023
Plastik Putih Ukuran 1/2 kg;pak;0;0;01/07/2023
Plastik Zip Kecil;pak;0;0;01/07/2023
Plastik Kotak;pak;0;0;01/07/2023
Curacron;pak;0;0;01/07/2023
Fungisida Amistartop;pak;0;0;01/07/2023
Furadan;g;0;0;01/07/2023
Kacang Kedelai;pak;0;0;01/07/2023
Kacang Hijau;pak;0;0;01/07/2023
AMP Samsons;pak;0;0;01/07/2023
Plastik 6 x 10 cm;pak;0;0;01/07/2023
Praktikum BPO dan BTLJB;pak;0;0;01/07/2023
Glukosa;g;800;0;01/01/2024
HCl 37%;ml;420;0;01/01/2024
Potasium Hydrogen Phospate;g;400;0;01/01/2024
Mangan Sulfat (MnSO4);g;410;0;01/01/2024
Metanol Teknis (CH?OH);ml;0;0;01/01/2024
Cobalt Chloride;g;0;0;01/01/2024
WPM;ml;0;0;01/01/2024
Alkohol 70%;ml;0;0;01/01/2024
MS (Media Kultur Jaringan);ml;0;0;01/01/2024
2,4 Dichlorophenoxyacetic Acid;g;1;0;01/01/2024
Kalium Nitrat (KNO3);g;2000;0;01/01/2024
Kalsium Nitrat (CaNO3);g;1000;0;01/01/2024
Besi (Fe);g;0;0;01/01/2024
Mangan Fosfida (MnP);g;940;0;01/01/2024
Kalium Sulfat (K2SO4);g;880;0;01/01/2024
Aenonin;g;0;0;01/01/2024
Magnesium (Mg);g;0;0;01/01/2024
Mangan (Mn);g;0;0;01/01/2024
Tembaga (Cu);g;500;0;01/01/2024
Seng (Zn);g;0;0;01/01/2024
Isoren;g;0;0;01/01/2024
Amonium;g;0;0;01/01/2024
P isag;g;0;0;01/01/2024
Iodine ;ml;1050;0;01/01/2024
Methylene Blue (Methylthioninium Chloride);ml;250;0;01/01/2024
Eosin 0,5% ;ml;50;0;01/01/2024
Aquades;ml;0;0;01/01/2024
6-Benzylaminopurine (BAP) 1 g;g;0;0;01/01/2024
Probiotik;ml;0;0;01/01/2024
Mesran B Sae 40;ml;0;0;01/01/2024
Pertiwi Pingky Kangkung;g;0;0;01/01/2024
Deterjen;g;0;0;01/01/2024
Dedak ;g;0;0;01/01/2024
You Fragrant Bawang Daun ;g;0;0;01/01/2024
PM Maestro SP Bayam;g;0;0;01/01/2024
PM Mira (Bayam Merah) ;g;0;0;01/01/2024
PM Amigo SP Seledri;g;0;0;01/01/2024
PM Vanesa (Timun) ;g;0;0;01/01/2024
PM Bella Reg F1 (Mentimun Hyb) 20;g;0;0;01/01/2024
PM Grand Rapids (Lettuce) ;g;0;0;01/01/2024
PM Bara Reg (Cabe Rawit) ;g;0;0;01/01/2024
PM Shinta (Caisim) ;g;0;0;01/01/2024
Takii Pakchoy Green 20 ml;g;0;0;01/01/2024
You Red Rapid Lettuce Selada;g;0;0;01/01/2024
BA Natama SP F1 Tomat Super 0.15;g;0;0;01/01/2024
CS Cauliflower Tropical 10 g;g;0;0;01/01/2024
Buncis ;g;0;0;01/01/2024
MF Tomato Red Cherry;g;0;0;01/01/2024
PM Panex SP Cabe Besar F1;g;0;0;01/01/2024
Pertiwi Talenta Jagung Manis F1 250;g;0;0;01/01/2024
Kemangi;g;0;0;01/01/2024
TSP;g;0;3000;01/01/2024
Pupuk Kandang;karung;0;20;01/01/2024
Tomat Permata;bks;0;0;01/01/2024
Tomat Tantyna;bks;0;0;01/01/2024
Jagung Manis Bimmo 25 g;bks;0;0;01/01/2024
Tanah;karung;0;0;01/01/2024
Cocopeat;Karung;0;0;01/01/2024
Sekam Bakar;Karung;0;0;01/01/2024
Pupuk K Ksr;g;0;0;01/01/2024
Pupuk K Lils;g;0;0;01/01/2024
TOB;pcs;0;0;01/01/2024
Kompos;karung;0;0;01/01/2024
Tanah Lembang;karung;0;0;01/01/2024
Klinpak Alumunium Foil;pcs;0;0;01/01/2024
Fresh Seal Ware SW-22;pcs;0;0;01/01/2024
Lem Fox Kaleng;pcs;0;0;01/01/2024
Madu Murni 150 g;botol;0;0;01/01/2024
Swallow Agar Globe White;bungkus;0;0;01/01/2024
Duplex Tebal;lembar;0;0;01/01/2024
Plastik Parsel Tipis;rol;0;0;01/01/2024
Batuan Sedimen;pak;0;0;01/01/2024
Batuan Mineral;pak;0;0;01/01/2024
Batuan Beku;pak;0;0;01/01/2024
Kertas Saring;pak;0;0;01/01/2024
Potato Dextrose Agar 100 g;Botol;1;0;01/01/2024
Agar Lokal;g;500;0;01/01/2024
Arang Sekam ;karung;0;0;01/01/2024
Alkohol 95%;ml;0;0;01/01/2024
Asam Nitrat (HNO3);g;1000;0;01/01/2024
Buffer 7;ml;100;0;01/01/2024
Buffer 4;ml;250;0;01/01/2024
Dextrose;ml;500;0;01/01/2024
Spirtus;ml;0;0;01/01/2024
Pupuk Hyponex;box;0;0;01/01/2024
Clorox (byclean);botol;0;0;01/01/2024
Media NA;botol;1;0;01/01/2024
Kalsium Amonium Nitrat;g;2000;0;01/01/2024
Fe - EDTA;g;100;0;01/01/2024
Monokalium Posfat (MKP) (KH?PO?);g;2000;0;01/01/2024
Amonium Sulfat ((NH?)?SO?);g;2000;0;01/01/2024
Magnesium Sulfat (MgSO4);g;0;1000;01/01/2024
Tembaga Sulfat (CuSO4);g;200;0;01/01/2024
Seng Sulfat (ZnSO4);g;200;0;01/01/2024
Asam Borat (H3BO3);g;200;0;01/01/2024
Amonium Hepta Molibdat;g;10;0;01/01/2024
Parafin Padat/Lilin Malam;pcs;0;0;01/01/2024
Silika Gel;bungkus;0;0;01/01/2024
Lanolin;botol;0;0;01/01/2024
Vaselin ;botol;1;0;01/01/2024
IAA (AUXIN);botol;0;0;01/01/2024
GA3 (GIBERELIN);botol;0;0;01/01/2024
Asam Sitrat;g;0;0;01/01/2024
Naphthalene Acetic Acid (NAA);g;0;0;01/01/2024
PPM;ml;0;0;01/01/2024
Natrium Hidroksida (NaOH);g;500;0;01/01/2024
Arang/Carbon Aktif;g;2000;0;01/01/2024
Bakterisida Agrept;g;1000;0;01/01/2024
Fungisida Antracol;g;750;0;01/01/2024
Sukrosa;g;1000;0;01/01/2024
Indole Butyric Acid (IBA);g;5;0;01/01/2024
Kalium Klorida (KCl | KCL);g;1000;3000;01/01/2024
Asam Asetat Glasial;botol;2;0;01/01/2024
Asam Asetat;botol;2;0;01/01/2024
Paclobutrazol;g;1;0;01/01/2024
Citric Acid Monohydrate;g;1;0;01/01/2024
Teknis Lugol;botol;1;0;01/01/2024
Kalium Hidroksida (KOH);botol;1;0;01/01/2024
Benih Sayuran;bks;0;0;01/01/2024
Benih Bunga;bks;0;0;01/01/2024
Ubi;g;0;0;01/01/2024
Kentang;g;0;0;01/01/2024
Macam- macam Batu Batre;g;0;0;01/01/2024
Plastik;g;0;0;01/01/2024
Bahan Bakar;ml;0;0;01/01/2024
Bibit;pak;0;0;01/01/2024
Polybag;pak;0;10;01/01/2024
Macam Macam Baterai;pcs;0;0;01/01/2024
Praktikum Fisiologi Tumbuhan;pak;0;5;01/01/2024
Praktikum Dasperlintan;paket;0;1;01/01/2024
Karung;pcs;0;0;01/01/2024
Glumon;botol;0;0;01/01/2024
Alkohol 90%;ml;0;1000;01/01/2024
Benih Tanaman;bks;0;0;01/01/2024
Bahan Tanam;g;0;0;01/01/2024
Pupuk Organik;g;0;0;01/01/2024
Pupuk Kimia;g;0;0;01/01/2024
Pestisida;g;0;0;01/01/2024
Bahan Kimia;g;0;0;01/01/2024
ATK;pak;0;0;01/01/2024
Media Bakteri;botol;1;0;01/01/2024
Media Jamur;botol;1;0;01/01/2024
Biakan Murni Mikroorganisme;petri;0;0;01/01/2024
Biakan fungi;petri;0;0;01/01/2024
Media Tanam;karung;0;0;01/01/2024
AB MIX;paket;0;0;01/01/2024
Herbisida;botol;0;0;01/01/2024
Insektisida Curacron;Botol;0;0;01/01/2024
Jaring Serangga;lembar;0;0;01/01/2024
Petrogenol (Perangkap Serangga);botol;0;0;01/01/2024
Inokulum Mikoriza;g;0;0;01/01/2024
Pupuk NPK Mutiara;g;0;10000;01/01/2024
Urea;g;0;5000;01/01/2024
Ponska;pak;0;5;01/01/2024
Benih Jagung Var Paragon;pak;0;2;01/01/2024
Benih Jagung 4 Varietas;pak;0;4;01/01/2024
Benih Cabai 6 Varietas;pak;0;4;01/01/2024
Benih Cabai Rawit;pak;0;3;01/01/2024
Benih Bayam;pak;0;1;01/01/2024
Benih Kacang Panjang;pak;0;1;01/01/2024
Benih sawi;pak;0;2;01/01/2024
Benih Selada;pak;0;2;01/01/2024
Benih Mentimun;pak;0;2;01/01/2024
Benih Kangkung;pak;0;1;01/01/2024
Benih Kaylan;pak;0;1;01/01/2024
Benih Buncis;pak;0;2;01/01/2024
Benih Pakcoy;pak;0;2;01/01/2024
Benih Kubis;pak;0;1;01/01/2024
Benih Semangka;pak;0;2;01/01/2024
Benih Melon;pak;0;2;01/01/2024
Benih Rosela;pak;0;4;01/01/2024
Tray Semai 48 Lubang;pak;0;3;01/01/2024
Plastik Putih Ukuran 1kg;pak;0;2;01/01/2024
Plastik Putih Ukuran 1/2 kg;pak;0;4;01/01/2024
Plastik Zip Kecil;pak;0;1;01/01/2024
Plastik Kotak;pak;0;12;01/01/2024
Curacron;pak;0;1;01/01/2024
Fungisida Amistartop;pak;0;1;01/01/2024
Furadan;g;0;4000;01/01/2024
Kacang Kedelai;pak;0;1;01/01/2024
Kacang Hijau;pak;0;2;01/01/2024
AMP Samsons;pak;0;1;01/01/2024
Plastik 6 x 10 cm;pak;0;2;01/01/2024
Praktikum BPO dan BTLJB;pak;0;2;01/01/2024
