product_code;kebutuhan;created_at
706-GLU;1000;20202
706-HCL;1000;20202
706-PHP;500;20202
706-MNS;250;20202
706-MTL;6000;20202
706-CCH;25;20202
706-WPM;1000;20202
706-ALK;30000;20202
706-MMS;50000;20202
706-DCA;135;20202
706-KNO;4000;20202
706-CNO;4000;20202
706-BES;100;20202
706-MNP;4000;20202
706-KSO;1000;20202
706-AEN;4000;20202
706-MAG;4000;20202
706-MAN;1000;20202
706-TCU;4000;20202
706-SZN;4000;20202
706-ISO;4000;20202
706-AMO;30;20202
706-IOD;125;20202
706-MET;500;20202
706-EOS;500;20202
706-AQU;10000;20202
706-BAP;20;20202
706-PRO;2500;20202
706-PHD;2;20202
706-TIS;2;20202
706-TER;250;20202
706-LBK;6;20202
706-DET;900;20202
706-DED;1000;20202
706-BKG;1000;20202
706-BBD;10;20202
706-BBY;25;20202
706-BBM;50;20202
706-BSL;250;20202
706-BMN;500;20202
706-BMH;250;20202
706-BSD;15;20202
706-BCR;10;20202
706-BSW;25;20202
706-BPC;25;20202
706-BSM;10;20202
706-BTM;10;20202
706-BKK;20;20202
706-BBC;100;20202
706-BTC;25;20202
706-BCB;25;20202
706-BJM;250;20202
706-KMG;250;20202
706-TSP;1000;20202
706-PPK-1;1;20202
706-TNH;1;20202
706-CCP;5000;20202
706-SBK;1;20202
706-KSC;1;20202
706-TOB;1;20202
706-MJK;1;20202
706-GUA;1;20202
706-GAB;1;20202
706-PHU;1;20202
706-PPK-2;0;20202
706-KSR;0;20202
706-PDA;0;20202
706-AGR;0;20202
706-ASK;0;20202
706-HNO;0;20202
706-BFR-1;0;20202
706-BFR-2;0;20202
706-DEX;0;20202
706-KAN;0;20202
706-FEE;0;20202
706-MKP;0;20202
706-ASF;0;20202
706-MGS;0;20202
706-CUS;0;20202
706-ZNS;0;20202
706-HBO;0;20202
706-AHM;0;20202
706-ASS;0;20202
706-NAA;0;20202
706-PPM;0;20202
706-NOH;0;20202
706-CAA;0;20202
706-BAG;0;20202
706-SUC;0;20202
706-IBA;0;20202
706-KCL;0;20202
706-AAG;0;20202
706-AAS;0;20202
706-PAC;0;20202
706-CAM;0;20202
706-LGL;0;20202
706-MER;0;20202
706-IAA;0;20202
706-HAK;0;20202
706-KOH;0;20202
706-BBA;0;20202
706-BUB;0;20202
706-BKT;0;20202
706-BBK;0;20202
706-BBT;0;20202
706-PLY;2;20202
706-BTR;1;20202
706-KPS;0;20202
706-KRG;0;20202
706-GLM;0;20202
706-BTN;0;20202
706-BTA;0;20202
706-PPK-3;12000;20202
706-PES;0;20202
706-BHK;0;20202
706-MBK;0;20202
706-MJM;0;20202
706-BMM;0;20202
706-BFG;0;20202
706-MTN;0;20202
706-ABM;0;20202
706-HER;0;20202
706-ICR;0;20202
706-INM;0;20202
706-PPK-4;0;20202
706-PPK-5;0;20202
706-BJV;0;20202
706-BCV;0;20202
706-BKP;0;20202
706-BKA;0;20202
706-BKU;0;20202
706-BSA;0;20202
706-BML;0;20202
706-BRS;0;20202
706-TRA;1;20202
706-PPU-1;0;20202
706-PPU-2;0;20202
706-ZIP;0;20202
706-PKK;32;20202
706-FUN;0;20202
706-FUR;0;20202
706-BKI;0;20202
706-BKH;0;20202
706-BSY;0;20202
706-AMP;0;20202
706-GUN;0;20202
706-CUP;1;20202
706-BBG;0;20202
706-BBB;0;20202
706-BLD;0;20202
706-ZPT;0;20202
706-BPS;0;20202
706-BPP;0;20202
706-SEL;0;20202
706-BUJ;0;20202
706-BAL;0;20202
706-BKM;0;20202
706-BMG;0;20202
706-AOL;0;20202
706-TRI;0;20202
706-BEE;0;20202
706-BPI;0;20202
706-BJU;0;20202
706-GLU;0;20211
706-HCL;0;20211
706-PHP;0;20211
706-MNS;0;20211
706-MTL;0;20211
706-CCH;0;20211
706-WPM;0;20211
706-ALK;0;20211
706-MMS;0;20211
706-DCA;0;20211
706-KNO;0;20211
706-CNO;0;20211
706-BES;0;20211
706-MNP;0;20211
706-KSO;0;20211
706-AEN;0;20211
706-MAG;0;20211
706-MAN;0;20211
706-TCU;0;20211
706-SZN;0;20211
706-ISO;0;20211
706-AMO;0;20211
706-IOD;0;20211
706-MET;0;20211
706-EOS;0;20211
706-AQU;0;20211
706-BAP;0;20211
706-PRO;0;20211
706-PHD;0;20211
706-TIS;0;20211
706-TER;0;20211
706-LBK;0;20211
706-DET;550;20211
706-DED;320;20211
706-BKG;250;20211
706-BBD;50;20211
706-BBY;50;20211
706-BBM;50;20211
706-BSL;50;20211
706-BMN;50;20211
706-BMH;250;20211
706-BSD;250;20211
706-BCR;250;20211
706-BSW;250;20211
706-BPC;250;20211
706-BSM;250;20211
706-BTM;250;20211
706-BKK;250;20211
706-BBC;250;20211
706-BTC;250;20211
706-BCB;250;20211
706-BJM;250;20211
706-KMG;250;20211
706-TSP;2000;20211
706-PPK-1;6;20211
706-TNH;50;20211
706-CCP;25000;20211
706-SBK;5;20211
706-KSC;4;20211
706-TOB;2;20211
706-MJK;0;20211
706-GUA;0;20211
706-GAB;0;20211
706-PHU;0;20211
706-PPK-2;24;20211
706-KSR;1;20211
706-PDA;100;20211
706-AGR;1000;20211
706-ASK;25000;20211
706-HNO;0;20211
706-BFR-1;0;20211
706-BFR-2;0;20211
706-DEX;0;20211
706-KAN;0;20211
706-FEE;0;20211
706-MKP;0;20211
706-ASF;0;20211
706-MGS;0;20211
706-CUS;0;20211
706-ZNS;0;20211
706-HBO;0;20211
706-AHM;0;20211
706-ASS;0;20211
706-NAA;0;20211
706-PPM;0;20211
706-NOH;0;20211
706-CAA;0;20211
706-BAG;0;20211
706-SUC;0;20211
706-IBA;0;20211
706-KCL;0;20211
706-AAG;0;20211
706-AAS;0;20211
706-PAC;0;20211
706-CAM;0;20211
706-LGL;0;20211
706-MER;0;20211
706-IAA;0;20211
706-HAK;0;20211
706-KOH;0;20211
706-BBA;0;20211
706-BUB;0;20211
706-BKT;0;20211
706-BBK;0;20211
706-BBT;0;20211
706-PLY;4;20211
706-BTR;0;20211
706-KPS;0;20211
706-KRG;0;20211
706-GLM;0;20211
706-BTN;0;20211
706-BTA;0;20211
706-PPK-3;12000;20211
706-PES;0;20211
706-BHK;0;20211
706-MBK;0;20211
706-MJM;0;20211
706-BMM;0;20211
706-BFG;0;20211
706-MTN;0;20211
706-ABM;0;20211
706-HER;0;20211
706-ICR;0;20211
706-INM;0;20211
706-PPK-4;0;20211
706-PPK-5;0;20211
706-BJV;0;20211
706-BCV;0;20211
706-BKP;0;20211
706-BKA;0;20211
706-BKU;0;20211
706-BSA;0;20211
706-BML;0;20211
706-BRS;0;20211
706-TRA;0;20211
706-PPU-1;0;20211
706-PPU-2;0;20211
706-ZIP;0;20211
706-PKK;0;20211
706-FUN;0;20211
706-FUR;0;20211
706-BKI;0;20211
706-BKH;0;20211
706-BSY;0;20211
706-AMP;0;20211
706-GUN;0;20211
706-CUP;0;20211
706-BBG;0;20211
706-BBB;0;20211
706-BLD;0;20211
706-ZPT;0;20211
706-BPS;0;20211
706-BPP;0;20211
706-SEL;0;20211
706-BUJ;0;20211
706-BAL;0;20211
706-BKM;0;20211
706-BMG;0;20211
706-AOL;0;20211
706-TRI;0;20211
706-BEE;0;20211
706-BPI;0;20211
706-BJU;0;20211
706-GLU;0;20212
706-HCL;0;20212
706-PHP;0;20212
706-MNS;200;20212
706-MTL;0;20212
706-CCH;0;20212
706-WPM;0;20212
706-ALK;20000;20212
706-MMS;10000;20212
706-DCA;250;20212
706-KNO;1000;20212
706-CNO;0;20212
706-BES;0;20212
706-MNP;0;20212
706-KSO;200;20212
706-AEN;0;20212
706-MAG;0;20212
706-MAN;0;20212
706-TCU;0;20212
706-SZN;0;20212
706-ISO;0;20212
706-AMO;0;20212
706-IOD;1000;20212
706-MET;500;20212
706-EOS;500;20212
706-AQU;200000;20212
706-BAP;2;20212
706-PRO;0;20212
706-PHD;0;20212
706-TIS;0;20212
706-TER;0;20212
706-LBK;0;20212
706-DET;0;20212
706-DED;0;20212
706-BKG;0;20212
706-BBD;0;20212
706-BBY;0;20212
706-BBM;0;20212
706-BSL;0;20212
706-BMN;0;20212
706-BMH;0;20212
706-BSD;0;20212
706-BCR;0;20212
706-BSW;0;20212
706-BPC;0;20212
706-BSM;0;20212
706-BTM;0;20212
706-BKK;0;20212
706-BBC;0;20212
706-BTC;0;20212
706-BCB;0;20212
706-BJM;0;20212
706-KMG;0;20212
706-TSP;0;20212
706-PPK-1;0;20212
706-TNH;0;20212
706-CCP;0;20212
706-SBK;0;20212
706-KSC;0;20212
706-TOB;0;20212
706-MJK;0;20212
706-GUA;0;20212
706-GAB;0;20212
706-PHU;0;20212
706-PPK-2;0;20212
706-KSR;0;20212
706-PDA;100;20212
706-AGR;1000;20212
706-ASK;0;20212
706-HNO;1000;20212
706-BFR-1;250;20212
706-BFR-2;250;20212
706-DEX;1000;20212
706-KAN;2000;20212
706-FEE;100;20212
706-MKP;2000;20212
706-ASF;2000;20212
706-MGS;1000;20212
706-CUS;200;20212
706-ZNS;200;20212
706-HBO;200;20212
706-AHM;100;20212
706-ASS;500;20212
706-NAA;25;20212
706-PPM;60;20212
706-NOH;500;20212
706-CAA;3000;20212
706-BAG;1000;20212
706-SUC;1000;20212
706-IBA;5;20212
706-KCL;1000;20212
706-AAG;2;20212
706-AAS;2;20212
706-PAC;1;20212
706-CAM;1;20212
706-LGL;100;20212
706-MER;0;20212
706-IAA;0;20212
706-HAK;0;20212
706-KOH;1;20212
706-BBA;0;20212
706-BUB;0;20212
706-BKT;0;20212
706-BBK;0;20212
706-BBT;0;20212
706-PLY;0;20212
706-BTR;0;20212
706-KPS;0;20212
706-KRG;0;20212
706-GLM;0;20212
706-BTN;0;20212
706-BTA;0;20212
706-PPK-3;5000;20212
706-PES;0;20212
706-BHK;0;20212
706-MBK;1;20212
706-MJM;0;20212
706-BMM;0;20212
706-BFG;0;20212
706-MTN;0;20212
706-ABM;0;20212
706-HER;0;20212
706-ICR;0;20212
706-INM;0;20212
706-PPK-4;0;20212
706-PPK-5;0;20212
706-BJV;0;20212
706-BCV;0;20212
706-BKP;0;20212
706-BKA;0;20212
706-BKU;0;20212
706-BSA;0;20212
706-BML;0;20212
706-BRS;0;20212
706-TRA;0;20212
706-PPU-1;0;20212
706-PPU-2;0;20212
706-ZIP;0;20212
706-PKK;0;20212
706-FUN;1;20212
706-FUR;0;20212
706-BKI;0;20212
706-BKH;0;20212
706-BSY;0;20212
706-AMP;0;20212
706-GUN;0;20212
706-CUP;0;20212
706-BBG;0;20212
706-BBB;0;20212
706-BLD;0;20212
706-ZPT;0;20212
706-BPS;0;20212
706-BPP;0;20212
706-SEL;0;20212
706-BUJ;0;20212
706-BAL;0;20212
706-BKM;0;20212
706-BMG;0;20212
706-AOL;0;20212
706-TRI;0;20212
706-BEE;0;20212
706-BPI;0;20212
706-BJU;0;20212
706-GLU;0;20221
706-HCL;0;20221
706-PHP;0;20221
706-MNS;0;20221
706-MTL;0;20221
706-CCH;0;20221
706-WPM;0;20221
706-ALK;0;20221
706-MMS;10000;20221
706-DCA;100;20221
706-KNO;0;20221
706-CNO;0;20221
706-BES;0;20221
706-MNP;0;20221
706-KSO;0;20221
706-AEN;0;20221
706-MAG;0;20221
706-MAN;0;20221
706-TCU;0;20221
706-SZN;0;20221
706-ISO;0;20221
706-AMO;0;20221
706-IOD;0;20221
706-MET;0;20221
706-EOS;0;20221
706-AQU;0;20221
706-BAP;2;20221
706-PRO;0;20221
706-PHD;0;20221
706-TIS;0;20221
706-TER;0;20221
706-LBK;0;20221
706-DET;0;20221
706-DED;0;20221
706-BKG;0;20221
706-BBD;0;20221
706-BBY;0;20221
706-BBM;0;20221
706-BSL;0;20221
706-BMN;0;20221
706-BMH;0;20221
706-BSD;0;20221
706-BCR;0;20221
706-BSW;0;20221
706-BPC;0;20221
706-BSM;0;20221
706-BTM;0;20221
706-BKK;0;20221
706-BBC;0;20221
706-BTC;0;20221
706-BCB;0;20221
706-BJM;0;20221
706-KMG;0;20221
706-TSP;0;20221
706-PPK-1;0;20221
706-TNH;0;20221
706-CCP;0;20221
706-SBK;0;20221
706-KSC;0;20221
706-TOB;0;20221
706-MJK;0;20221
706-GUA;0;20221
706-GAB;0;20221
706-PHU;0;20221
706-PPK-2;0;20221
706-KSR;0;20221
706-PDA;0;20221
706-AGR;0;20221
706-ASK;0;20221
706-HNO;0;20221
706-BFR-1;0;20221
706-BFR-2;0;20221
706-DEX;0;20221
706-KAN;0;20221
706-FEE;0;20221
706-MKP;0;20221
706-ASF;0;20221
706-MGS;0;20221
706-CUS;0;20221
706-ZNS;0;20221
706-HBO;0;20221
706-AHM;0;20221
706-ASS;0;20221
706-NAA;0;20221
706-PPM;0;20221
706-NOH;0;20221
706-CAA;0;20221
706-BAG;0;20221
706-SUC;0;20221
706-IBA;0;20221
706-KCL;0;20221
706-AAG;0;20221
706-AAS;0;20221
706-PAC;0;20221
706-CAM;0;20221
706-LGL;0;20221
706-MER;0;20221
706-IAA;0;20221
706-HAK;0;20221
706-KOH;0;20221
706-BBA;0;20221
706-BUB;0;20221
706-BKT;0;20221
706-BBK;0;20221
706-BBT;0;20221
706-PLY;0;20221
706-BTR;0;20221
706-KPS;0;20221
706-KRG;0;20221
706-GLM;0;20221
706-BTN;0;20221
706-BTA;0;20221
706-PPK-3;0;20221
706-PES;0;20221
706-BHK;0;20221
706-MBK;0;20221
706-MJM;0;20221
706-BMM;0;20221
706-BFG;0;20221
706-MTN;0;20221
706-ABM;0;20221
706-HER;0;20221
706-ICR;0;20221
706-INM;0;20221
706-PPK-4;0;20221
706-PPK-5;0;20221
706-BJV;0;20221
706-BCV;0;20221
706-BKP;0;20221
706-BKA;0;20221
706-BKU;0;20221
706-BSA;0;20221
706-BML;0;20221
706-BRS;0;20221
706-TRA;0;20221
706-PPU-1;0;20221
706-PPU-2;0;20221
706-ZIP;0;20221
706-PKK;0;20221
706-FUN;0;20221
706-FUR;0;20221
706-BKI;0;20221
706-BKH;0;20221
706-BSY;0;20221
706-AMP;0;20221
706-GUN;0;20221
706-CUP;0;20221
706-BBG;0;20221
706-BBB;0;20221
706-BLD;0;20221
706-ZPT;0;20221
706-BPS;0;20221
706-BPP;0;20221
706-SEL;0;20221
706-BUJ;0;20221
706-BAL;0;20221
706-BKM;0;20221
706-BMG;0;20221
706-AOL;0;20221
706-TRI;0;20221
